act_name,section_number,section_title,content,doc_types
"Industrial Disputes Act, 1947",20,Commencement and conclusion of,"proceedings (1) A conciliation proceeding shall be deemed to have commenced on the date on which a notice of strike or lock-out under section 22 is received by the conciliation officer or on the date of the order referring the dispute to a Board, as the case may be. (2) A conciliation proceeding shall be deemed to have concluded- (a) where a settlement is arrived at, when a memorandum of the settlement is signed by the parties to the dispute; (b) where no settlement is arrived at, when the report of the conciliation officer is received by the appropriate government or when the report of the Board is published under section 17, as the case may be; or (c) when a reference is made to a court, 117[ Labor Court , Tribunal or National Tribunal] under section 10 during the pendency of conciliation proceedings. (3) Proceedings 118[ before an arbitrator under section 10A or before a Labor Court, Tribunal or National Tribunal] shall be deemed to have commenced on the date of the 119[reference of the dispute for arbitration or adjudication, as the case maybe,] and such proceedings shall be deemed to have concluded 120[on the date on which the award becomes enforceable under section 17A.]",offer_letter
"Industrial Disputes Act, 1947",21,Certain matters to be kept,"confidential There shall not be included in any report or award under this Act, any information obtained by a Conciliation Officer, Board, court, 117[Labor Court, Tribunal, National Tribunal or an arbitrator], in the course of any investigation or inquiry as to a trade union or as to any individual business (whether carried on by a person, firm or company) which is not available otherwise than through the evidence given before such officer, Board, court, 117[ Labor Court, Tribunal, National Tribunal or arbitrator], if the trade union, person, firm or company, in question has made a request in writing to the conciliation officer, Board, court 117[Labor Court, Tribunal ,National Tribunal or arbitrator], as the case may be, that such information shall be treated as confidential; nor shall such conciliation officer or any individual member of the Board, 121[or court or the presiding officer of the Labor Court, Tribunal or National Tribunal or the arbitrator] or any person present at or concerned in the proceedings disclose any such information without the consent in writing of the secretary of the trade union or the person, firm or company in question, as the case may be: PROVIDED that nothing contained in this section shall apply to a disclosure of any such information for the purposes of a prosecution under section 193 of the Indian Penal Code (45 of 1860).",offer_letter
"Industrial Disputes Act, 1947",22,Prohibition of strikes and Lockouts,"(1) No person employed in a public utility service shall go on strike in breach of contract- (a) without giving to the employer notice of strike, as hereinafter provided, within six weeks before striking; or (b) within fourteen days of giving such notice; or (c) before the expiry of the date of strike specified in any such notice as aforesaid; or (d) during the pendency of any conciliation proceedings before a conciliation officer and seven days after the conclusion of such proceedings. (2) No employer carrying on any public utility service shall lock-out any of his workmen- (a) without giving them notice of lock-out as hereinafter provided, within six weeks before locking-out; or (b) within fourteen days of giving such notice; or (c) before the. expiry of the date of lock-out specified in any such notice as aforesaid. or (d) during the pendency of any conciliation proceedings before a conciliation officer and seven days after the conclusion of such proceedings. (3) The notice of lock-out or strike under this section shall not be necessary where there is already in existence a strike or, as the case may be, lock-out in the public utility service, but the employer shall send intimation of such lock-out or strike on the day on which it is declared, to such authority as may be specified by the appropriate government either generally or for a particular area or for a particular class of public utility services. (4) The notice of strike referred to in sub-section(l) shall be given by such number of persons to such person or persons and in such manner as maybe prescribed. (5) The notice of lock-out referred to in sub-section (2) shall be given in such manner as may be prescribed. (6) If on any day an employer receives from any person employed by him any such notices as are referred to in sub-section (1) or gives to any person employed by him any such notices as are referred to in sub-section (2), he shall within five days thereof report to the appropriate government or to such authority as that government may prescribe, the number of such notices received or given on that day.",offer_letter
"Industrial Disputes Act, 1947",23,General prohibition of strikes and,"Lockouts No workman who is employed in any industrial establishment shall go on strike in breach of contract and no employer of any such workman shall declare a lock-out- (a) during the pendency of conciliation proceedings before a Board and seven days after the conclusion of such proceedings; (b) during the pendency of proceedings before 122[a Labor Court , Tribunal or National Tribunal] and two months, after the conclusion of such proceedings; 123[* * *] 107 [(bb) during the pendency of arbitration proceedings before an arbitrator and two months after the conclusion of such proceedings, where a notification has been issued under sub-section (3A) of section l0A; or] (c) during any period in which a settlement or award is in operation, in respect of any of the matters covered by the settlement or award.",offer_letter
"Industrial Disputes Act, 1947",24,Il-legal strikes and Lockouts,"(1) A strike or lock-out shall be illegal if- (i) it is commenced or declared in contravention of section 22 or section 23; or (ii) it is continued in contravention of an order made under sub-section (3) of section 10 107[or sub-section (4A) of Section 10A]. (2) Where a strike or lock-out in pursuance of an industrial dispute has already commenced and is in existence at the time of the reference of the dispute to a Board, 107[an arbitrator, a]117[Labor Court, Tribunal or National Tribunal], the continuance of such strike or lock-out shall not be deemed to be illegal, provided that such strike or lock out was not at its commencement in contravention of the provisions of this Act or the continuance thereof was not prohibited under sub-section(3) of section 10 107[or sub-section (4A) of section 10A]. (3) A lock-out declared in consequence of an illegal strike or a strike declared in consequence of an illegal lock-out shall not be deemed to be illegal.",offer_letter
"Industrial Disputes Act, 1947",25,Prohibition of financial aid to,illegal strikes and Lockouts No person shall knowingly expend or apply any money in direct furtherance or support of any illegal strike or lock-out.,offer_letter
"Industrial Disputes Act, 1947",26,Penalty for illegal strikes and,"Lockouts (1) Any workman who commences, continues or otherwise acts in furtherance of, a strike which is illegal under this Act, shall be punishable with imprisonment for a term which may extend to one month, or with fine which may extend to fifty rupees, or with both. (2) Any employer who commences, continues, or otherwise acts in furtherance of a lock-out which is illegal under this Act, shall be punishable with imprisonment for a term which may extend to one month, or with fine which may extend to one thousand rupees, or with both.",offer_letter
"Industrial Disputes Act, 1947",27,"Penalty for instigation, etc.","Any person who instigates or incites others to take part in, or otherwise acts in furtherance of, a strike or lock-out which is illegal under this Act, shall be punishable with imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",offer_letter
"Industrial Disputes Act, 1947",28,Penalty for giving financial aid to,"illegal strikes and Lockouts Any person who knowingly expends or applies any money in direct furtherance or support of any illegal strike or lock-out shall be punishable with imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",offer_letter
"Industrial Disputes Act, 1947",29,Penalty for breach of settlement or award,"Any person who commits a breach of any term of any settlement or award, which is binding on him under this Act, shall be punishable with imprisonment for a term which may extend to six months, or with fine, or with both, 147[and where the breach is a continuing one, with a further fine which may extend to two hundred rupees for every day during which the breach continues after the conviction for the first] and the Court trying the offence, if it fines the offender, may direct that the whole or any part of the fine realized from him shall be paid, by way of compensation, to any person who, in its opinion, has been injured by such breach.]",offer_letter
"Industrial Disputes Act, 1947",3,Works Committee,"(1) In the case of any industrial establishment in which one hundred or more workmen are employed or have been employed on any day in the preceding twelve months, the appropriate government may by general or special order require the employer to constitute in the prescribed manner a Works Committee consisting of representatives of employers and workmen engaged in the establishment, so however that the number of representatives of workmen on the Committee shall not be less than the number of representatives of the employer. The representatives of the workmen shall be chosen in the prescribed manner from among the workmen engaged in the establishment and in consultation with their trade union, if any, registered under the Indian Trade Unions Act, 1926 (16 of 1926). (2) It shall be the duty of the Works Committee to promote measures for securing and preserving amity and good relations between the employer and workmen and, to that end, to comment upon matters of their common interest or concern and endeavor to compose any material difference of opinion in respect of such matters.",offer_letter
"Industrial Disputes Act, 1947",30,Penalty for disclosing Confidential,"information Any person who willfully discloses any such information as is referred to in section 21 in contravention of the provisions of that section shall, on complaint made by or on behalf of the trade union or individual business affected, be punishable with imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both.",offer_letter
"Industrial Disputes Act, 1947",31,Penalty for other offences,"(1) Any employer who contravenes the provisions of section 33 shall be punishable with imprisonment for a term which may extend to six months, or with fine which may extend to one thousand rupees, or with both, (2) Whoever contravenes any of the provisions of this Act or any rule made thereunder shall, if no other penalty is elsewhere provided by or under this Act for such contravention, be punishable with fine which may extend to one hundred rupees.",offer_letter
"Industrial Disputes Act, 1947",32,"Offence by companies, etc.","Where a person committing an offence under this Act is a company, or other body corporate, or an association of persons (whether incorporated or not), every director, manager, secretary, agent or other officer or person concerned with the management thereof shall, unless he proves that the offence was committed without his knowledge or consent, be deemed to be guilty of such offence.",offer_letter
"Industrial Disputes Act, 1947",33,"Conditions of service, etc., to remain","unchanged under certain circumstances during pendency of proceedings (1) During the pendency of any conciliation proceeding before a conciliation officer or a Board or of any proceeding before 149[an arbitrator or] a Labor Court or Tribunal or National Tribunal in respect of an industrial dispute, no employer shall- (a) in regard to any matter connected with the dispute, alter, to the prejudice of the workmen concerned in such dispute, the conditions of service applicable to them immediately before the commencement of such proceeding; or (b) for any misconduct connected with the dispute, discharge or punish, whether by dismissal or otherwise, any workmen concerned in such dispute, save with the express permission in writing of the authority before which the proceeding is pending; (2) During the pendency of any such proceeding in respect of an industrial dispute, the employer may, in accordance with standing orders applicable to a workman concerned in such dispute 149[or, where there are no such standing orders, in accordance with the terms of the contract, whether express or implied, between him and the workman]- (a) alter, in regard to any matter not connected with the dispute, the conditions of service applicable to that workman immediately before the commencement of such proceeding; or (b) for any misconduct not connected with the dispute, discharge or punish, whether by dismissal or otherwise, that workman: PROVIDED that no such workman shall be discharged or dismissed, unless he has been paid wages for one month and an application has been made by the employer to the authority before which the proceeding is pending for approval of the action taken by the employer. (3) Notwithstanding anything contained in sub-section (2) no employer shall, during the pendency of any such proceeding in respect of an industrial dispute, take any action against any protected workman concerned in such dispute- (a) by altering, to the prejudice of such protected workman, the conditions of service applicable to him immediately before the commencement of such proceeding; or (b) by discharging or punishing, whether by dismissal or otherwise, such protected workman, save with the express permission in writing of the authority before which the proceeding is pending. Explanation: For the purposes of this sub-section a ""protected workman"" in relation to an establishment, means a workman who, being 150[a member of the executive or other office bearer] of a registered trade union connected with the establishment, is recognized as such in accordance with rules made in this behalf. (4) In every establishment, the number of workmen to be recognized as protected workmen for the purposes of sub-section (3) shall be one per cent of the total number of workmen employed therein subject to a minimum number of five protected workmen and a maximum number of one hundred protected workmen and for the aforesaid purpose, the appropriate government may make rules providing for the distribution of such protected workmen among various trade unions, if any, connected with the establishment and the manner in which the workmen may be chosen and recognized as protected workmen. (5) Where an employer makes an application to conciliation officer , Board, 107[an arbitrator, a Labor Court, Tribunal or National Tribunal under the proviso to sub-section (2) for approval of the action taken by him, the authority concerned shall, without delay, hear such application and pass, 102[within a period of three months from the date of receipt of such application], such order in relation thereto as it deems fit:] 145 [PROVIDED that where any such authority considers it necessary or expedient so to do, it may, for reasons to be recorded in writing, extend such period by such further periods as it may think fit: PROVIDED FURTHER that no proceedings before any such authority shall lapse merely on the ground that any period specified in this sub-section had expired without such proceedings being completed.]",offer_letter
"Industrial Disputes Act, 1947",34,Cognizance of offences,"(1) No court shall take cognizance of any offence punishable under this Act or of the abetment of any such offence, save on complaint made by or under the authority of the appropriate government. (2) No court inferior to that of 102[a Metropolitan Magistrate or a Judicial Magistrate of the first class] shall try any offence punishable under this Act.",offer_letter
"Industrial Disputes Act, 1947",35,Protection of persons,"(1) No person refusing to take part or to continue to take part in any strike or lock-out which is illegal under this Act shall, by reason of such refusal or by reason of any action taken by him under this section, be subject to expulsion from any trade union or society, or to any fine or penalty, or to deprivation of any right or benefit to which he or his legal representatives would otherwise be entitled, or be liable to be placed in any respect, either directly or indirectly, under any disability or at any disadvantage as compared with other members of the union or society, anything to the contrary in rules of a trade union or society notwithstanding. (2) Nothing in the rules of a trade union or society requiring the settlement of dispute in any manner shall apply to any proceeding for enforcing any right or exemption secured by this section, and in any such proceeding the Civil Court may, in lieu of ordering a person who has been expelled from membership of a trade union or society to be restored to membership, order that he be paid out of the funds of the trade union or society such sum by way of compensation or damages as that Court thinks just.",offer_letter
"Industrial Disputes Act, 1947",36,Representation of parties,"(1) A workman who is a party to a dispute shall be entitled to be represented in any proceeding under this Act by- (a) 147[any member of the executive or other office bearer] of a registered trade union of which he is a member; (b) 117[any member of the executive or other office bearer] of a federation of trade unions to which the trade union referred to in clause (a) is affiliated; (c) where the worker is not a member of any trade union by 117[any member of the executive or other office bearer] of any trade union connected with, or by any other workman employed in the industry in which the worker is employed and authorized in such manner as may be prescribed. (2) An employer who is a party to a dispute shall be entitled to be represented in any proceeding under this Act by- (a) an officer of an association of employer of which he is a member; (b) an officer of a federation of associations of employers to which the association referred to in clause (a) is, affiliated; (c) where the employer is not a member of any association of employers, by an officer of any association of employers connected with, or by any other employer engaged in, the industry in which the employer is engaged and authorized in such manner as may be prescribed. (3) No party to a dispute shall be entitled to be represented by a legal practitioner in any conciliation proceedings under this Act or in any proceedings before a Court. (4) In any proceeding117[before a Labor Court , Tribunal or National Tribunal], a party to a dispute may be represented by a legal practitioner with the consent of the other parties to the proceeding and 156[with the leave of the Labor Court , Tribunal or National Tribunal, as the case may be.]",offer_letter
"Industrial Disputes Act, 1947",37,Protection of action taken under,"the Act No suit, prosecution or other legal proceeding shall lie against any person for anything which is in good faith done or intended to be done in pursuance of this Act or any rules made thereunder.",offer_letter
"Industrial Disputes Act, 1947",38,Power to make rules,"(1) The appropriate government may, subject to the condition of previous publication, make rules for the purpose of giving effect to the provisions of this Act. (2) In particular and without prejudice to the generality of the foregoing power, such rules may provide for all or any of the following matters, namely:- (a) the powers and procedure of conciliation officer, Board, Court, 158[Labor Courts, Tribunals and National Tribunals] including rules as to the summoning of witnesses, the production of documents relevant to the subject-matter of an inquiry or investigation, the number of members necessary to form a quorum and the manner of submission of reports and awards; 109 [(aa) the form of arbitration agreement, the manner in which it maybe signed by the parties 107[the manner in which a notification may be issued under sub-section (3A) of section 10A,] the powers of the arbitrator named in the arbitration agreement and the procedure to be followed by him; (aaa) the appointment of assessors in proceedings under this Act;] (b) the constitution and functions of and the filling of vacancies in Works Committees, and the procedure to be followed by such Committees in the discharge of their duties; (c) the allowances admissible to members of Courts 159[and Boards and presiding officers of Labor Courts, Tribunals and National Tribunals] and to assessors and witnesses; (d) the ministerial establishment which may be allotted to a Court, Board, 117[ Labor Court , Tribunal or National Tribunal] and the salaries and allowances payable to members of such establishments; (e) the manner in which and the person by and to whom notice of strike or lock-out may be given and the manner in which such notice shall be communicated; (f) the conditions subject to which parties may be represented by legal practitioners in proceedings under this Act before a Court, 117[ Labor Court , Tribunal or National Tribunal]; (g) any other matter which is to be or may be prescribed. (3) Rules made under this section may provide that a contravention thereof shall be punishable with fine not exceeding fifty rupees. 109 [(4) All rules made under this section shall, as soon as possible after they are made, be laid before the State Legislature or, where the appropriate government is the Central Government, before both Houses of Parliament.] 107 [ (5) Every rules made by the Central Government under this section shall be laid, as soon as may be after it is made before each House of Parliament while it is in session for a total period of thirty days which may be comprised in one session or in 160[two or more successive sessions, and if, before the expiry of the session immediately following the session or the successive sessions aforesaid] both Houses agree in making any modification in the rule, or both Houses agree that the rule should not be made, the rule shall thereafter have effect only in such modified form or be of no effect, as the case may be; so however, that any such modification or annulment shall be without prejudice to the validity of anything previously done under that rule.]",offer_letter
"Industrial Disputes Act, 1947",39,Delegation of powers,"The appropriate government may, by notification in the Official Gazette, direct that any power exercisable by it under this Act or rules made thereunder shall, in relation to such matters and subject to such conditions, if any, as may be specified in the direction, be exercisable also,- (a) where the appropriate government is the Central Government, by such officer or authority subordinate to the Central Government or by the State Government, or by such officer or authority subordinate to the State Government, as may be specified in the notification; and (b) where the appropriate government is a State Government, by such officer or authority subordinate to the State Government as may be specified in the notification.]",offer_letter
"Industrial Disputes Act, 1947",4,Conciliation officers,"(1) The appropriate. government may, by notification in the Official Gazette, appoint such number of persons, as it thinks fit to be conciliation officers, charged with the duty of mediating in and promoting the settlement of industrial disputes. (2) A conciliation officer may be appointed for a specified area or for specified industries in a specified area or for one or more. specified industries and either permanently or for a limited period.",offer_letter
"Industrial Disputes Act, 1947",40,Power to amend Schedules,"(1) The appropriate government may, if it is of opinion that it is expedient or necessary in the public interest so to do, by notification in the Official Gazette, add to the First Schedule any industry, and on any such notification being issued, the First Schedule shall be deemed to be amended accordingly. (2) The Central Government may, by notification in the Official Gazette, add to or alter or amend the Second Schedule or the Third Schedule and on any such notification being issued, the Second Schedule or the Third Schedule, as the case may be, shall be deemed to be amended accordingly. (3) Every such notification shall, as soon as possible after it is issued, , be laid before the Legislature of the State, if the notification has been issued by a State Government, or before Parliament, if the notification has been issued by the Central Government.]",offer_letter
"Industrial Disputes Act, 1947",5,Boards of Conciliation,"(1) The appropriate government may as occasion arises by notification in the Official Gazette constitute a Board of Conciliation for promoting the settlement of an industrial dispute. (2) A Board shall consist of a Chairman and two or four other members, as the appropriate government thinks fit. (3) The Chairman shall be an independent person and the other members shall be persons appointed in equal numbers to represent the parties to the dispute and any person appointed to represent a party shall be appointed on the recommendation of that party: PROVIDED that, if any party fails to make a recommendation as aforesaid within the prescribed time, the appropriate government shall appoint such persons as it thinks fit to represent that party. (4) A Board, having the prescribed quorum, may act notwithstanding the absence of the Chairman or any of its members or any vacancy in its number: PROVIDED that, if the appropriate government notifies the Board that the services of the Chairman or of any other member have ceased to be available, the Board shall not act until a new Chairman or member, as the case may be, has been appointed.",offer_letter
"Industrial Disputes Act, 1947",6,Courts of Inquiry,"(1) The appropriate government may, as occasion arises by notification in the Official Gazette, constitute a Court of Inquiry for inquiring into any matter appearing to be connected with or relevant to an industrial dispute. (2) A court may consist of one independent person or of such number of independent persons as the appropriate government may think fit and where a court consists of two or more members, one of them shall be appointed as the Chairman. (3) A court, having the prescribed quorum, may act not with standing the absence of the Chairman or any of its members or any vacancy in its number: PROVIDED that, if the appropriate government notifies the court that the services of the Chairman have ceased to be available, the court shall not act until a new Chairman has been appointed.",offer_letter
"Industrial Disputes Act, 1947",7,Labor Courts,"(1) The appropriate government may, by notification in the Official Gazette, constitute one or more Labor Courts for the adjudication of industrial disputes relating to any matter specified in the Second Schedule and for performing such other functions as may be assigned to them under this Act. (2) A Labor Court shall consist of one person only to be appointed by the appropriate government. (3) A person shall not be, qualified for appointment as the presiding officer of a Labor Court , unless52 [(a) he is, or has been, a judge of a High Court; or (b) he has, for a period of not less than three years, been a District Judge or an Additional District Judge; or] 53[* * *] 54 [(d) he has held any judicial office in India for not less than seven years; or 54 [(e)] he has been the presiding officer of a Labor Court constituted under any Provincial Act or State Act for not less than five years.",offer_letter
"Industrial Disputes Act, 1947",8,Filling of vacancies,"If, for any reason a vacancy (other than a temporary absence) occurs in the office of the presiding officer of a Labor Court, Tribunal or National Tribunal or in the office of the Chairman or any other member of a Board or court, then, in the case of a National Tribunal, the Central Government and in any other case, the appropriate government shall appoint another person in accordance with the provisions of this Act to fill the vacancy, and the proceeding may be continued before the Labor Court, Tribunal, National Tribunal, Board or court, as the case may be, from the stage at which the vacancy is filled.",offer_letter
"Industrial Disputes Act, 1947",9,Finality of orders constituting,"Boards, etc. (1) No order of the appropriate government or of the Central Government appointing any person as the Chairman or any other member of a Board or court or as the presiding officer of a Labor Court, Tribunal or National Tribunal shall be called in question in any manner; and no act or proceeding before any Board or court shall be called in question in any manner on the ground merely of the existence of any vacancy in, or defect in the constitution of, such Board or court. (2) No settlement arrived at in the course of a conciliation proceeding shall be invalid by reason only of the fact that such settlement was arrived at after the expiry of the period referred to in sub-section (6) of section 12 or sub-section (5) of section 13, as the case may be. (3) Where the report of any settlement arrived at in the course of conciliation proceeding before a Board is signed by the Chairman and all the other members of the Board, no such settlement shall be invalid by reason only of the casual or unforeseen absence of any of the members (including the Chairman) of the Board during any stage of the proceeding.]",offer_letter
"Information Technology Act, 2000",1,"Short title, extent, commencement and","application. – (1) This Act may be called the Information Technology Act, 2000. (2) It shall extend to the whole of India and, save as otherwise provided in this Act, it applies also to any or contravention thereunder committed outside India by any person. (3) It shall come into force on such date as the Central Government may, by notification, appoint and different dates may be appointed for different provisions of this Act and any reference in any such provision to the commencement of this Act shall be construed as a reference to the commencement of that provision. (4) Nothing in this Act shall apply to- (a) a negotiable instrument as defined in section","general,terms_conditions"
"Information Technology Act, 2000",10,Power to make rules by Central Government,"in respect of digital signature.- The Central Government may, for the purposes of this Act, by rules, prescribe- (a) the type of digital signature; (b) the manner and format in which the digital signature shall be affixed; (c) the manner or procedure which facilitates identification of the person affixing the digital signature; (d) control processes and procedures to ensure adequate integrity, security and confidentiality of electronic records or payments; and (e) any other matter which is necessary to give legal effect to digital signatures","general,terms_conditions"
"Information Technology Act, 2000",11,Attribution of electronic records.-,"An electronic record shall be attributed to the originator,- (a) if it was sent by the originator himself; (b) by a person who had the authority to act on behalf of the originator in respect of that electronic record; or (c) by an information system programmed by or on behalf of the originator to operate automatically.","general,terms_conditions"
"Information Technology Act, 2000",12,Acknowledge of receipt.-,"(1) Where the originator has not agreed with the addressee that the acknowledgement of receipt of electronic record be given in a particular form or by a particular method, an acknowledgement may be given by- (a) any communication by the addressee, automated or otherwise; or (b) any conduct of the addressee, sufficient to indicate to the originator that the electronic record has been received. Where the originator has stipulated that the electronic record shall be binding only on receipt of an acknowledgement of such electronic record by him, then, unless acknowledgement has been so received, the electronic record shall be deemed to have been never sent by the originator. Where the originator has not stipulated that the electronic record shall be binding only on receipt of such acknowledgment, and the acknowledgement has not been received by the originator within the time specified or agreed or, if no time has been specified or agreed to within a reasonable time, then, the originator may give notice to the addressee stating that no acknowledgement has been received by him and specifying a reasonable time by which he acknowledgement must be received by him and if no acknowledgement is received within the aforesaid time limit he may after giving notice to the addressee, treat the electronic record as tough it has never been sent.","general,terms_conditions"
"Information Technology Act, 2000",13,Time and place of dispatch and receipt of,"electronic record. – (1) Save as otherwise agreed to between the originator and the addressee, the dispatch of an electronic record occurs when it enters a computer resources outside the control of the originator.; Save as otherwise agreed between the originator and the addressee, the time of receipt of an electronic record shall be determined as follows, namely:- the addressee has designated a computer resource for the purpose of receiving electronic record,- receipt occurs at the time when the electronic record enters the designated computer resources; or if the electronic record is spent to a computer resources of the addressee that is not the designated computer resource, receipt occurs at the time when the electronic record is retrieved by the addressee; if the addressee has not designated a computer resource along with specified timings, if any, receipt occurs when the electronic record enters the computer resource of the addressee. Save as otherwise agreed to between the originator and the addressee, an electronic record is deemed to be received at the place where the addressee has his place of business. The provisions of sub-section (2) shall apply notwithstanding that the place where the computer resource is located may be different from the place where the electronic record is deemed to have been received under sub-section (3). For the purpose of this section.- if the originator or the addressee has more than one place of business, the principal place of business, shall be the place of business; if the originator or the addressee does not have a place of business, his usual place of residence shall be deemed to be the place of business; ""usual place of residence "", in relation to a body corporate, means the place where it is registered.","general,terms_conditions"
"Information Technology Act, 2000",14,Secure electronic record.-,"Where any security procedure has been applied to an electronic record at a specific point of time, then such record shall be deemed to be a secure electronic record from such point of time to the time of verification.","general,terms_conditions"
"Information Technology Act, 2000",15,Secure digital signature.-,"If, by application of a security procedure agreed to by the parties concerned, it can be verified that a digital signature, at the time it was affixed, was – (a) unique to the subscriber affixing it; (b) capable of identifying such subscriber; (c) created in a manner or using a means under the exclusive control of the subscriber and is linked to the electronic record to which related in such a manner that if the electronic record was altered the digital signature would be invalidated, then such digital signature shall be deemed to be a secure digital signature.","general,terms_conditions"
"Information Technology Act, 2000",16,Security procedure.-,"The Central Government shall, for the purpose of this Act, prescribe the security procedure having regard to commercial circumstances prevailing at the time when the procedure was used, including- (a) the nature of the transaction; (b) the level of sophistication of the parties with reference to their technological capacity; (c) the volume of similar transactions engaged in by other parties; (d) the availability of alternatives offered to but rejected by any party;","general,terms_conditions"
"Information Technology Act, 2000",17,Appointment of Controller and other,"officers. – (1) The Central Government may, by notification in the Official Gazette, appoint a Controller of Certifying Authorities for the purposes of this Act and may, also by the same or subsequent notification, appoint such number of Deputy Controllers and Assistant Controllers as it deems fit. (2) The Controller shall discharge his functions under this Act subject to the general control and directions of the Central Government. (3) The Deputy Controllers and Assistant Controllers shall perform functions assigned to them by the Controller under the general superintendence and control of the Controller. (4) The qualifications, experience and terms and conditions of service of Controller, Deputy Controllers and Assistant Controller shall be such as may be prescribed by the Central Government. (5) The Head Office and Branch Officer of the officer of the Controller shall be at such places as the Central Government may specify, and these may be established at such places as the Central Government may think fit. (6) There shall be a seal of the Office of the Controller.","general,terms_conditions"
"Information Technology Act, 2000",18,Functions of Controller. –,"The Controller may perform all or any of the following function, namely:- (a) exercising supervision over the activities of Certifying Authorities; (b) certifying public keys of the Certifying Authorities; (c) laying down the standards to be maintained by Certifying Authorities; (d) specifying the qualifications and experience which employees of the Certifying Authorities should possess; (e) specifying the conditions subject to which the Certifying Authority shall conduct their business; (f) specifying the contents of written, printed or visual materials and advertisements that may be distributed or used in respect of a Digital Signature Certificate and the public key; (g) specifying the form and content of a Digital Signature Certificate and the key; (h) specifying the form the manner in which accounts shall be maintained by the Certifying Authorities; (i) specifying the terms and conditions subject to which auditors may be appointed and the remuneration to be paid to them; (j) facilitating the establishment of any electronic system by a Certifying Authority either solely or jointly with other Certifying Authorities and regulation of such system; (k) specifying the manner in which the Certifying Authorities shall conduct their dealings with the subscribers; (l) resolving any conflict of interests between the Certifying Authorities and the subscribers; (m) laying down the duties of the Certifying Authorities; (n) maintaining a data-base containing the disclosure record of ever Certifying Authority containing such particulars as may be specified by regulations which shall be accessible to public.","general,terms_conditions"
"Information Technology Act, 2000",19,Recognition of foreign,"Certifying Authorities. – (1) Subject to such conditions and restrictions as may be specified, by regulations, the Controller may, with the previous approval of the Central Government, and by notification in the Official Gazette, recognise any Certifying Authority as a Certifying Authority for the purposes of this Act. (2) Where any Certifying Authority is recognised under sub-section (1), the Digital Signature Certificate issued by such Certifying Authority shall be valid for the purposes of this Act. (3) The Controller may if he is satisfied that any Certifying Authority has contravened any of the conditions and restrictions subject to which it was granted recognition under sub-section (1), he may, for reasons to be recorded in writing, by notification in the Official Gazette, revoke such recognition.","general,terms_conditions"
